# Some difficult maths
1 + 1
2 * 2
5 / 2
# Random comment
10000000000001 * 12345
6 < 3
4 = 4
1 + 2 * 3
# The end
1 = 1
10 = 10
1 > 1
1 > 10
10 > 1
1 < 1
1 < 10
10 < 1
# Some difficult maths
1 + 1
12 + 18
125 + 26
-5 + -5
-5 + 3
-5 + 10
13 - 15
25 - 12
125 - 95
-5 - -5
-5 - 3
-5 - 10
-5 - -10
2 * 2
4 * 3
7 * 10
12 * 100
-2 * -2
-4 * -3
-7 * -10
-12 * -100
-2 * 2
4 * -3
-7 * 10
12 * -100
5 / 2
6 / 3
100 / 10
7 / 4
9 / 2
-5 / -2
-6 / -3
-100 / -10
-7 / -4
-9 / -2
-5 / 2
-6 / 3
-100 / 10
-7 / 4
-9 / 2
5 / -2
6 / -3
100 / -10
7 / -4
9 / -2
# Random comment
10000000000001 * 12345
6 < 3
4 = 4
1 + 2 * 3
48 gcd 18
# The end
